Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,370,350,412,451,713,307,1199,0.0
jmeter_view_issue,18202,169,166,188,198,219,131,1439,0.0
jmeter_search_jql,5502,481,475,558,577,619,349,1522,0.0
jmeter_view_dashboard,5079,266,256,314,333,376,199,1530,0.0
jmeter_view_backlog,2539,318,308,365,394,443,261,1294,0.0
jmeter_open_quick_create,1693,64,61,73,79,97,52,662,0.0
jmeter_create_issue,1693,241,241,283,297,323,191,412,0.0
jmeter_view_project_summary,1693,219,204,263,283,332,165,980,0.0
jmeter_open_editor,1693,78,77,85,89,110,66,174,0.0
jmeter_save_edit,1693,325,315,361,400,541,182,1355,0.0
jmeter_browse_projects,1692,48,48,52,55,77,40,153,0.0
jmeter_view_kanban_board,1270,213,208,249,268,299,134,1199,0.0
jmeter_view_scrum_board,1270,133,135,166,180,195,89,271,0.0
jmeter_open_comment,847,62,61,68,72,91,51,123,0.0
jmeter_save_comment,847,180,171,220,232,250,140,321,0.0
jmeter_browse_boards,846,73,65,70,74,96,54,6584,0.0
selenium_login:open_login_page,163,128,120,133,137,196,110,1019,0.0
selenium_login:login_and_view_dashboard,163,728,730,808,826,874,586,1144,0.0
selenium_login,163,858,852,924,958,993,699,2164,0.0
selenium_browse_projects_list,163,347,339,382,400,462,307,488,0.0
selenium_browse_boards_list,163,375,362,405,418,630,314,775,0.0
selenium_create_issue:open_quick_create,163,875,893,943,951,1036,698,1052,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,163,665,651,711,725,863,630,1159,0.0
selenium_create_issue:fill_and_submit_issue_form,163,3309,3135,4528,4622,4795,2789,5099,0.0
selenium_create_issue,163,4185,4035,5265,5384,5578,3616,5821,0.0
selenium_edit_issue:open_edit_issue_form,163,698,665,865,906,975,522,1261,0.0
selenium_edit_issue:save_edit_issue_form,163,751,738,846,881,919,607,926,0.0
selenium_edit_issue,163,2192,2187,2309,2352,2431,1995,2544,0.0
selenium_save_comment:open_comment_form,163,452,448,505,526,573,329,580,0.0
selenium_save_comment:submit_form,163,1001,997,1081,1100,1167,824,1222,0.0
selenium_save_comment,163,1667,1663,1774,1799,1841,1491,1886,0.0
selenium_search_jql,163,1362,1352,1440,1470,1564,1185,1801,0.0
selenium_view_scrum_board_backlog,163,1269,1534,1744,1778,1822,828,1911,0.0
selenium_view_scrum_board,163,846,836,864,877,998,571,1808,0.0
selenium_view_kanban_board,163,1084,1078,1444,1605,1725,506,1779,0.0
selenium_view_dashboard,163,391,340,559,608,689,251,819,0.0
selenium_view_issue,163,855,849,946,965,1008,731,1029,0.0
selenium_project_summary,163,583,585,657,669,705,389,745,0.0
selenium_log_out,163,435,432,487,497,540,366,567,0.0
